Zachary A. Krantz, CFP®
Donald E. Park, CFP®
Blake V. Cecil, CFP®
David B. Dryden, CFP®
Christopher P. Photiou, CFP®
David H. Anzicek, CFP®
Christopher E. Crull, CFP®
Grant H. Harrison, CFP®
Brian C. Losh, CFP®
Daniel D. Lohmar, CFP®
Regan M. Shipp, CFP®
Lacey Jordan, CFP®
Michael P. Dever, CFP®
Michael T. Byrne, CFP®
Erik J. Johnson, CFP®
James B. Bowman, CFP®
Ira Armad, CFP®
Kevin O. Ekstrom, CFP®
Gregory L. Holzer, CFP®
Douglas R. Augenthaler, CFP®
Rachel D. Smith, CFP®
Steven V. Nuccio, CFP®
Nolia P. Anderson, CFP®
Andrew A. Glaisner, CFP®
Robert C. Castillo, CFP®
Marjorie U. Edenfield, CFP®
Mark W. Etter, CFP®
John C. Wahl, CFP®
Jonathan   D. Graf, CFP®
Patrick D. Portman, CFP®
Kevin S. Baltier, CFP®
Tek R. Wiegert, CFP®
Helen  Ngo, CFP®
Stephen J. Coulter, CFP®
Viney Sethy, CFP®
James R. Hopson, CFP®
Becky L. Walker, CFP®
Ricky Winslow, CFP®
John J. Shanley, CFP®
Nicholas V. Economos, CFP®
David C. Ligan, CFP®
Barry R. Bynum, CFP®
Joshua Lightcap, CFP®
J. R. Browning, CFP®
Christian M. Pascuzzo, CFP®
Scott E. Marshall, CFP®
William C. Fisher, CFP®
John S. Diamond, CFP®
Cheri C. Measom, CFP®
Bradley A. Niswonger, CFP®
Luke J. Aull, CFP®
John Jee, CFP®
Tammy L. Symons, CFP®
Richard A. Weinstein, CFP®
Jeffrey R. Furman, CFP®
Jay Richards, CFP®
Timothy R. Driscoll, CFP®
Jared A. Kilberg, CFP®
Raymond N. Ianni, CFP®
Luis A. Galdamez, CFP®
Matt J. Patterson, CFP®
Michael E. Brown, CFP®
Gary C. Scott, CFP®
Brian Miller, CFP®
Neil A. Carr, CFP®
Patricia B. Kummer, CFP®
Austin Kasner, CFP®
Joshua Howard, CFP®
Douglas A. Coursen, CFP®
William L. Corsino, CFP®
Gerard W. Zhang, CFP®
Keaton Hineman, CFP®
Richard Morgenstern, CFP®
Tommy E. Ricks, CFP®
Michael R. Brown, CFP®
Gregory J. Ross, CFP®
Jay H. McGowan, CFP®
Scott T. Cavey, CFP®
Mahesh P. Desai, CFP®
Kristin Schoenfelder, CFP®
Brady  C. Raanes, CFP®
Jason M. Cole, CFP®
Andy M. Schwartz, CFP®
Mark A. Herding, CFP®
Christopher M. Cole, CFP®
Aaron G. Hoff, CFP®
Thomas A. Manno, CFP®
Deanna McLendon, CFP®
Scott A. Sheffield, CFP®
Julia L. Mull, CFP®
Caleb M. Bagwell, CFP®
Peter Bo Rappmund, CFP®
Ryan M. Franks, CFP®
Travis Wesley, CFP®
Michael T. Gustafson, CFP®
Chris P. Wieder, CFP®
Benjamin K. Smith, CFP®
Brandon Lovell, CFP®
Luis M. Orama, CFP®
Andrew C. Karlinski, CFP®
Joseph R. Willis, CFP®
Bernard G. Van Eperen, CFP®
Johnathan Mitchell, CFP®
Kaitlyn L. Dehoff, CFP®
Mark J. Uhler, CFP®
Timothy T. Aumann, CFP®
Cassondra L. Johnson, CFP®
Brendan D. Sheehan, CFP®
Jacob M. Boggs, CFP®
Walter Z. Fletcher, CFP®
Stephen D. Dunne, CFP®
Clarice Nolet, CFP®
Robert W. Justice, CFP®
D. G. Williams, CFP®
Kevin Force, CFP®
Robin M. Dziuba, CFP®
Lane deCordova, CFP®
Madison M. Lorentzen, CFP®
John E. Richardson, CFP®
J. W. Waltman, CFP®
Jeremy J. Lowe, CFP®
Katherine Kanes, CFP®
Kevin S. Dooley, CFP®
Patrick D. Thompson, CFP®
Brant Jones, CFP®
Laurie R. Girsky, CFP®
Michael Wright, CFP®
John A. Gamblin, CFP®
Daniel Sharkey, CFP®
Brian M. Duggan, CFP®
Kyle Dews, CFP®
Jonathan Z. Wood, CFP®
Michael J. McKersie, CFP®
Jason Newnham, CFP®
Peter Quoie, CFP®
Christopher Tuck, CFP®
Gregory B. Coffing, CFP®
Christopher R. Quinty, CFP®
Latrell Wilson, CFP®
Terri B. Ucci, CFP®
Matt Heatley, CFP®
Mary E. Disher, CFP®
Jeffrey C. Oskin, CFP®
Wesley M. Boyce, CFP®
Daniel Green, CFP®
Laura K. Chiesman, CFP®
Carl J. Hefflefinger, CFP®
John A. Romano, CFP®
Airung Liu, CFP®
Kurt Patten, CFP®
anthony j. francois, CFP®
Frank M. Tamplin, CFP®
Martin R. Day, CFP®
Adele M. Noel, CFP®
Ashlee N. Ogrzewalla, CFP®
Fred W. Kauffman, CFP®
Nathan D. Shields, CFP®
Robert Riegen, CFP®
Matthew R. Aument, CFP®
Jeremiah Cascairo, CFP®
Harold J. Hendricks, CFP®
James K. Rockford, CFP®
Keith Tengberg, CFP®
Stephen M. Northington, CFP®
Lea Smith Johnson, CFP®
Scott M. Morrello, CFP®
James M. Kelly, CFP®
Richard E. D'Augelli, CFP®
Devon Alber, CFP®
Phillip A. Cox, CFP®
Harlan V. Miller, CFP®
Edward Gipson, CFP®
Bob J. Bollinger, CFP®
Raymond S. Pavicich, CFP®
David S. Hodge, CFP®
Andrea Edwards, CFP®
Jon A. Theeke, CFP®
John D. Mitchell, CFP®
Todd Lowen, CFP®
David E. Muchow, CFP®
Daniel A. Finkle, CFP®
Kevin R. Ostergaard, CFP®
Richard L. Carroll, CFP®
Kevin L. Slater, CFP®
Zsuzsanna Vivino, CFP®
Curtis H. Parry, CFP®
Brett Gersack, CFP®
Joseph Tenbusch, CFP®
MaryAnn Johnson, CFP®
Tyler C. Naumann, CFP®
Nancy A. Miller, CFP®
William Creech, CFP®
Joshua S. Mandelkorn, CFP®
Anthony Watts, CFP®
Matthew J. Lum, CFP®
Arthur L. Perry, CFP®
Gregory A. Robertson, CFP®
Matthew Schutte, CFP®
John A. Macukas, CFP®
Kacy Gott, CFP®
Rufus T. Williams, CFP®
Arthur S. Rothschild, CFP®
John R. Augenblick, CFP®
James E. Higginbotham, CFP®
Rose A. Bernardo, CFP®
Kyle E. Krull, CFP®
Brian C. Forseth, CFP®
Brian  L. Turbeville, CFP®
Ryan VandenBerg, CFP®
Stephen B. Giauque, CFP®
Mark Zhuravlev, CFP®
Sarah L. Carlson, CFP®
Eric A. Overstreet, CFP®
Ryan Aubuchon, CFP®
Christopher A. Walker, CFP®
Kevin P. Ducie, CFP®
Jared Bergstrom, CFP®
Kelly M. Morgan, CFP®
rachel schultz, CFP®
Diana J. Cohen, CFP®
Benjamin W. Murray, CFP®
Richard M. Collop, CFP®
Edward  C. Mathews, CFP®
Brett Sierakowski, CFP®
Emily Cuba, CFP®
Carlos A. Guerra, CFP®
Ross Hoewischer, CFP®
Shawn W. Gehm, CFP®
Deborah J. Rubin, CFP®
Geraldo M. Alves, CFP®
Kristine A. Boelte, CFP®
Adam F. Kint, CFP®
Hannah L. Santa Cruz, CFP®
Nicholas A. Tardy, CFP®
William R. Doty, CFP®
Joshua P. Jones, CFP®
Ryan M. Daus, CFP®
Mary A. Coelho, CFP®
Mary Jane Sullivan, CFP®
Brent T. Glogau, CFP®
Hamilton P. Neal, CFP®
Richard S. Sauer, CFP®
Jacob  K. Merk, CFP®
Sean M. Condon, CFP®
Matthew St. Clair , CFP®
Mario K. Yim, CFP®
Alisa J. Edmondson, CFP®
Karen Sotallaro, CFP®
Matthew E. Brandt, CFP®
James Werner, CFP®
Dawn C. Pedicord, CFP®
George N. Bauer, CFP®
Steven L. Kane, CFP®
Dustin C. Rinaldi, CFP®
Adam Brock, CFP®
Jenna T. Diehl, CFP®
Melissa P. Wilfong, CFP®
Vincent Grosso, CFP®
Jonathan Panzica, CFP®
Nora Daniels, CFP®
Matthew J. Spradling, CFP®
Judi M. Aber, CFP®
Kathryn G. Drew, CFP®
Jeffrey Birnbaum, CFP®
David Sims, CFP®
Daniel R. Babai, CFP®
William P. Bayuk, CFP®
Erin A. O'Brien, CFP®
David R. Tracey, CFP®
Robert M. Wechter, CFP®
William B. Nelson, CFP®
Richard  C. McCool, CFP®
Robert G. Lucker, CFP®
Christopher J. McDermott, CFP®
Cameron Irvine, CFP®
Tyler B. Napier, CFP®
Ryan A. Petti, CFP®
Joseph J. Skwara, CFP®
Daniel R. Joie, CFP®
Richard Duda, CFP®
M. J. Crosthwait, CFP®
Dimitri P. Eliopoulos, CFP®
Baylee A. Bryant, CFP®
George P. Harris, CFP®
Christopher L. Bakowski, CFP®
Mark B. Johnston, CFP®
Bonnie N. Suther, CFP®
Paul Cheransky, CFP®
Michael T. Collegeman, CFP®
Trent A. Yost, CFP®
Roy J. Jackson, CFP®
Evan D. Ho, CFP®
Todd S. Matthews, CFP®
Christopher M. Paglia, CFP®
Luciana P. Macedo, CFP®
Ann L. Carlyle, CFP®
Jeff G. Newman, CFP®
Dustin A. Eldridge, CFP®
Samuel K. Mullins, CFP®
Douglas A. Weaver, CFP®
David M. Imhoff, CFP®
Jeffrey T. Boyer, CFP®
Christine A. Crigler, CFP®
Jim D. Pinkston, CFP®
Christopher B. Sloop, CFP®
Drew M. Keenan, CFP®
Darren F. Kalb, CFP®
Steven Schiff, CFP®
Gerald Newman, CFP®
Heather D. Holtzinger, CFP®
Bonnie L. Staniewicz, CFP®
Dean J. Hessler, CFP®
Jake Faucett, CFP®
William B. Mullin, CFP®
Justin N. Hennessey, CFP®
Isaac C. Wales, CFP®
Karen K. Salvatore, CFP®
Nicholas E. Wilson, CFP®
Peter J. Jalbert, CFP®
Sunny Chiou, CFP®
Christopher L. Manci, CFP®
J W. Thompson, CFP®
David A. Hughes, CFP®
Daniel E. Lloyd-Roberts, CFP®
Jack W. Snowden, CFP®
Sergio A. Rojas, CFP®
Ronsey Chawla, CFP®
Cortney L. Fluegeman, CFP®
James Loyd, CFP®
Joe Carlson, CFP®
Winfred G. Jacob, CFP®
Joan G. Lawson, CFP®
Jessica E. Lee, CFP®
Jerrilynn C. Myers, CFP®
Jared T. Hoole, CFP®
Sean Meagher, CFP®
Shannon Acosta, CFP®
Emily E. Muhvich, CFP®
Denine K. Bergeland, CFP®
Dan Krstevski, CFP®
Griffin J. Borst, CFP®
Patrick Strodtman, CFP®
Michael S. Dubensky, CFP®
Todd D. Buckstead, CFP®
Jared Geoghan, CFP®
Harley S. Wedgbury, CFP®
John R. Harrell, CFP®
Mark E. Gibson, CFP®
Jason S. Fair, CFP®
Mark N. Hogan, CFP®
Joel C. Taliaferro, CFP®
Wayne F. Lee, CFP®
Daniel Anderson, CFP®
Shawn K. Jones, CFP®
Kathryn Wallace, CFP®
Laurette M. Dearden, CFP®
Gary T. Moss, CFP®
Kristof Lewicki, CFP®
Keven Donohue, CFP®
Anthony C. Blauert, CFP®
Brady Schmidt, CFP®
Daniel Ortt, CFP®
Thomas L. Marcacci, CFP®
Gregory K. Simakas, CFP®
Robert S. McCulloch, CFP®
Thomas W. Milajecki, CFP®
Nolan K. Ku, CFP®
Jon Vollstedt, CFP®
Michael J. Reed, CFP®
Dustin J. Kindl, CFP®
Andrew Wilkins, CFP®
Adam N. Werner, CFP®
John W. Bailey, CFP®
Michael T. Meggyesy, CFP®
William R. Vigor, CFP®
Michael Krause, CFP®
Kris Westergaard, CFP®
Jeffrey Cady, CFP®
Christopher J. Coman, CFP®
Michael E. Cadis, CFP®
Brandon R. Roberts, CFP®
TAMMIA D. ROWE, CFP®
Mark L. Prendergast, CFP®
Blanca V. Intriago, CFP®
Hannah F. Fitzpatrick, CFP®
James M. Huck, CFP®
Jeffrey Albright, CFP®
Ryan Cholnoky, CFP®
David Rice, CFP®
George Warburg, CFP®
Shana Bielich, CFP®
Robert Burks, CFP®
Kyle W. Moerschbacher, CFP®
Jonathan Donaldson, CFP®
Stephen H. Hazel, CFP®
Kyle J. McDermott, CFP®
Mark J. Bukowski, CFP®
Brian Moles, CFP®
Paige Arbuckle, CFP®
Keith J. Wolff, CFP®
John V. Signorotti, CFP®
Robert C. Stone, CFP®
Susan B. Schwarm, CFP®
Leon T. Konecny, CFP®
Adam P. Davidson, CFP®
Anthony D. Miller, CFP®
shujuan yan, CFP®
Thomas C. Smith, CFP®
Jennifer L. Lucovich, CFP®
Michael J. Porro, CFP®
TIMOTHY A. KOERPER, CFP®
Ashlea Ayer, CFP®
James S. McGill, CFP®
Emily D. Morgan, CFP®
Darcy J. Beeman, CFP®
Terry M. Brown, CFP®
Jay W. Keranen, CFP®
Ty W. Schmidt, CFP®
Brian Anderson, CFP®
Bernard E. Packard , CFP®
James Reisert, CFP®
Katie R. Seay, CFP®
Tyler C. Olson, CFP®
Daniel S. Tresemer, CFP®
Michael Mahoney, CFP®
Yvan H. Cao, CFP®
Shane D. Kunz, CFP®
Kelly A. Richert, CFP®
Tiffany L. Polifka, CFP®
David O. Cashdollar, CFP®
Richard T. Law, CFP®
Gregory A. Gosier, CFP®
Tenner C. Stoe, CFP®
Orlando Allen, CFP®
Thomas J. Lalley, CFP®
Roy A. Chavez, CFP®
Brian M. Dowd, CFP®
David M. Pound, CFP®
Andrew M. Steger, CFP®
Mary P. Jordan, CFP®
David A. Pratt, CFP®
Kenneth A. Roberts, CFP®
Jarrod G. Sandra, CFP®
David M. Watts, CFP®
Jordan W. DeBoer, CFP®
Simon K. Dogbe, CFP®
Justin J. DuMouchelle, CFP®
Jeremy Lau, CFP®
Bruce E. Kallor, CFP®
Andrew R. Bodner, CFP®
Erin Shaw, CFP®
Mohammad A. Zuberi, CFP®
Kyle Fogarty, CFP®
Douglas R. Morris, CFP®
Richard R. FRANK, CFP®
Renae Smith, CFP®
Wayne W. Howell, CFP®
Brian S. Seaman, CFP®
Lance Aten, CFP®
Cyrus Baravati, CFP®
Nathan Serven, CFP®
James R. Fritschel, CFP®
Patrick B. Flood, CFP®
Andres Pimentel, CFP®
Michael R. Shuck, CFP®
Mehrdad Bidarian, CFP®
Brian J. Sullivan, CFP®
Timothy S. McBride, CFP®
Rylan Rozell, CFP®
Beau Lasseigne, CFP®
Brian A. Schwarz, CFP®
Francis G. Bitterly, CFP®
Cynthia L. Turoski, CFP®
David W. Hart, CFP®
Christine R. Burke, CFP®
JOHN D. HOFFSTETTER, CFP®
Joshua S. Grossman, CFP®
Christine D. Moriarty, CFP®
Kenneth N. Vostal, CFP®
John R. Michael, CFP®
Mark N. Pittelkau, CFP®
jacob moeder, CFP®
Jake Hayes, CFP®
John Adams, CFP®
Michael Pine, CFP®
Tyler Degeneffe, CFP®
Paul J. Bunke, CFP®
Robert K. Thompson, CFP®
Joel Williamson, CFP®
Barry L. Pinsky, CFP®
Wesley Sebacher, CFP®
David M. Nichols, CFP®
James T. Dunn, CFP®
Rachel M. Luken, CFP®
Scott Carmody, CFP®
Alfred K. Young, CFP®
Alison D. Longley, CFP®
James A. Martin, CFP®
Jason M. Thomas, CFP®
Kevin E. Henley, CFP®
Luke J. Murray, CFP®
Amy M. Fisher, CFP®
Kyle Marcolla, CFP®
Kevin Ta, CFP®
Brian J. Koopman, CFP®
Keith D. Huff, CFP®
James I. Downing, CFP®
Jordan Thayer, CFP®
Deborah R. Wise, CFP®
John Florio, CFP®
Kyle R. Kuyat, CFP®
Michelle Hipskind, CFP®
David O. Carlock, CFP®
Hannah E. Woolley, CFP®
John J. Jablonski, CFP®
Seth E. Martin, CFP®
Elisabeth Cullington, CFP®
Philip Doerner, CFP®
Gerard P. McGahran, CFP®
Joseph D. West, CFP®
Donnie Dishaw, CFP®
John P. Harnish, CFP®
Eric N. Alleckson, CFP®
Daniel H. Yoo, CFP®
William A. Howard, CFP®
Brittany J. Reid, CFP®
Thomas M. Lhota, CFP®
Anthony C. Carter, CFP®
Brian W. Laughlin, CFP®
Gary J. Mendelow, CFP®
David Faulk, CFP®
Jose V. Sanchez, CFP®
Janet W. Martinusen, CFP®
Mary E. Glidden, CFP®
Charles D. Willis, CFP®
Jean P. Larsen, CFP®
Donald F. McGlynn, CFP®
Robert L. Donina, CFP®
Paul Monax, CFP®
Karina A. Horton, CFP®
Allen G. Sleeman, CFP®
David C. Burditt, CFP®
Daniel R. Berglund, CFP®
Brenda F. Richman, CFP®
Jason M. Kendall, CFP®
James D. Aronson, CFP®
Todd A. Dussex, CFP®
Charles C. Harker, CFP®
Franklin M. Hsu, CFP®
Dennis L. Bell, CFP®
Andrew J. Mazzoni, CFP®
Patrick M. Grooms, CFP®
David J. Bereck, CFP®
Dennis C. Lockhart, CFP®
Rodney A. Linehan, CFP®
Sidney E. Phillips, CFP®
Jaime C. Niesley, CFP®
Paul R. Foutch, CFP®
Ben Richey, CFP®
Lonnie L. Bathurst, CFP®
YANBIN ZHU, CFP®
James Perriello, CFP®
Robert E. Toomire, CFP®
Noah D. Krebs, CFP®
Patrick G. Jakowchik, CFP®
Anthony M. Schifano, CFP®
Adam T. Schoenwald, CFP®
Margaret M. Gooley, CFP®
Charles F. Fellows, CFP®
David  M. Chiavacci, CFP®
James Wineland, CFP®
Patrick D. Powers, CFP®
Alan E. Knight, CFP®
Raymond C. Kuethe, CFP®
David A. Eppley, CFP®
Barbara J. Leclerc, CFP®
Gwendolyn Canonico, CFP®
Briana Iannaccone, CFP®
Nicole B. Price, CFP®
Perry J. Green, CFP®
Michael P. Sullivan, CFP®
Jonathan E. Millican, CFP®
Brandy M. Branstetter, CFP®
Hannah B. Doherty, CFP®
John M. McIntosh, CFP®
Brian A. Akers, CFP®
Scott Glaser, CFP®
Jesse Maltzman, CFP®
Blake J. Keeley, CFP®
Dylan J. Dunlea, CFP®
Erica Jean Cortez, CFP®
Julie  E. Ramos, CFP®
Kristen LeClair, CFP®
Darrall F. Murchison, CFP®
Gerald R. Pierce, CFP®
Madison K. Holbrook, CFP®
Marion J. Otminski, CFP®
Kevin E. Weaver, CFP®
Cyndie Barone, CFP®
Gary L. Holcombe, CFP®
Jennifer E. Kast, CFP®
Robert S. Paul, CFP®
Larry M. Newell, CFP®
Claire Shinholser, CFP®
Karl P. Ritland, CFP®
Lance A. Nell, CFP®
Heather J. Kern, CFP®
Matt T. Kuhn, CFP®
Bruce J. Dzieza, CFP®
Andy Evans, CFP®
Margaret McDonnell, CFP®
Thomas S. Robbins, CFP®
Todd H. Green, CFP®
Christopher Brooker, CFP®
EDUARDO L. SORDO, CFP®
Ian J. Rivero, CFP®
Michael  Boyer, CFP®
P. C. Brown, CFP®
Ryan P. Becker, CFP®
Aimee Baehr, CFP®
James N. Plummer, CFP®
James C. Campbell, CFP®
Devin O'Neil, CFP®
Eugene S. Root, CFP®
Frank J. Ziegler, CFP®
Michael D. Brown, CFP®
Megan O'Brien, CFP®
Ryan L. Sboray, CFP®
Jameson Buehler, CFP®
Corrado A. Dell'Aglio, CFP®
Chad Perbeck, CFP®
Taylor Huck, CFP®
John E. Kochlefl, CFP®
Philip Parker, CFP®
David Webb, CFP®
Theodore M. Williamson, CFP®
Thomas E. Lieser, CFP®
Mark S. Sievers, CFP®
William L. Mixdorf, CFP®
Andreas P. Nicolades, CFP®
John  P. Daly, CFP®
Patrick S. Kolody, CFP®
Alan D. Holman, CFP®
Jeffrey Lyons, CFP®
Michael C. Moynihan, CFP®
Wesley H. Moss, CFP®
Zachary M. Jennings, CFP®
Cheryl A. Yanik, CFP®
Duane E. Janka, CFP®
Emily Messegee, CFP®
Joseph R. Brida, CFP®
Larry M. Christ, CFP®
Melody Graham, CFP®
Allen G. Kozel, CFP®
Mark  Beatini, CFP®
James A. Smith, CFP®
Matthew Schmitz, CFP®
Karen H. Brock, CFP®
Ajay Verma, CFP®
Matthew E. Streeter, CFP®
Valentino Fehlmann, CFP®
Robert G. Collier, CFP®
Brian Hart, CFP®
Judy L. Rubin, CFP®
Christopher J. Zang, CFP®
Scott A. Weingarden, CFP®
James T. MacDonald, CFP®
Miles Sawyer-Wicker, CFP®
Daniel R. Hahn, CFP®
Marc P. Walsh, CFP®
Kevin M. Savage, CFP®
Carter J. Harris, CFP®
Jeffrey E. Puissant, CFP®
Kari A. Phillips, CFP®
Tami Carroll, CFP®
Parimal K. Patel, CFP®
Paul R. Streiber, CFP®
Shaun M. Kosnik, CFP®
Brian M. Rees, CFP®
Eric  Ferry, CFP®
Ali Barghelame, CFP®
Bryan F. Tornow, CFP®
Christopher A. Flanders, CFP®
Julie Wakefield, CFP®
Thomas J. Carey, CFP®
Alan Hensley, CFP®
John F. Moore, CFP®
Ron Hinson, CFP®
David S. Maher, CFP®
Brannigan H. Beam, CFP®
Steven J. Cwienkala, CFP®
Lawrence W. Witzel, CFP®
Nicklus H. Caplenor, CFP®
Mark Pingree, CFP®
Christopher N. DePaola, CFP®
Erik H. Lembcke, CFP®
Michael  Brooks, CFP®
Ross D. Poll, CFP®
Michael J. Raposa, CFP®
Maria C. Braham, CFP®
Adrienne E. Upchurch, CFP®
Jenny I. Martella, CFP®
Arthur R. Anliker, CFP®
Gary R. Davis, CFP®
Jeffrey S. Sharpe, CFP®
Jonathan Pickelman, CFP®
Rand D. Putterman, CFP®
Brett A. Fisher, CFP®
Jessie E. Harris, CFP®
Bryan L. Schulz, CFP®
John A. Nates, CFP®
Randy P. Kinchen, CFP®
Austin J. Hill, CFP®
Gregory Esposito, CFP®
Kevin T. Lentini, CFP®
David B. Gallentine, CFP®
Robert K. Targosz, CFP®
Brian L. Nemes, CFP®
Jonah W. Besch, CFP®
Roch Tranel, CFP®
Nicholas E. Cortazzo, CFP®
David B. Ackerman, CFP®
David J. Diaz, CFP®
Robert Diaz, CFP®
Mackenzie Richards, CFP®
Kory Pippin, CFP®
Amelia Bonilla, CFP®
Bradley H. Barnes, CFP®
Christopher  J. Lim, CFP®
David T. Wendland, CFP®
Jared Kirby, CFP®
Kevin S. Kellogg, CFP®
Thomas T. Fox, CFP®
Glenn A. Rikkola, CFP®
Timothy Long, CFP®
Douglas P. Pfeifer, CFP®
Kyrstie L. Wootten, CFP®
Rex C. Emery, CFP®
Jay R. Brown, CFP®
Prince Owusu Mensah, CFP®
David A. Waltz, CFP®
Scott B. Stavin, CFP®
Francisco J. Torres, CFP®
Bryant Lundahl, CFP®
Bryan D. Hancock, CFP®
Deborah A. DeHoff, CFP®
Timothy J. Dierkes, CFP®
Kevin W. Brown, CFP®
Samantha J. Jarvey, CFP®
Timothy R. Jirak, CFP®
Roland C. Swasey, CFP®
Gabriel Kaplan, CFP®
Pledger E. Monk, CFP®
Greg Block, CFP®
Jeffrey N. Boone, CFP®
Brooke Perkins, CFP®
Michael Mack, CFP®
Andrew J. Crooks, CFP®
John Griffin, CFP®
Karen DeBaker, CFP®
Mark L. Blom, CFP®
Nicholas G. Caramanica, CFP®
Carol M. Rodgers-Rivir, CFP®
Jean M. Luckey, CFP®
Jack P. Morris, CFP®
Brendan Burke, CFP®
Robert H. Glass, CFP®
Lester Z. Koryczan, CFP®
Steven S. Gilbertson, CFP®
Christine Chase, CFP®
James O. Davis, CFP®
Jeremiah Forrister, CFP®
Anthony J. Sapienza, CFP®
Dillon Schroeder, CFP®
Barbara A. Huffman, CFP®
Jessica E. Rebmann, CFP®
Youfeng Jiang, CFP®
David K. Binns-Loveman, CFP®
Alexander C. Ellingboe, CFP®
Scott Brooks, CFP®
davis A. linden, CFP®
John M. Travis, CFP®
Rockne S. Schatz, CFP®
James Redwine, CFP®
LaToya  K. Maddox, CFP®
Myron C. Henley, CFP®
Thomas W. Watts, CFP®
Robert A. Duncan, CFP®
John A. Rossitto, CFP®
Eduardo A. Escobar, CFP®
Robert R. Steinfeld, CFP®
Kylie A. Roman, CFP®
Daniel E. Davis, CFP®
Karli S. Caine, CFP®
Mark G. Deering, CFP®
Keith D. Huberman, CFP®
Casey Startzell, CFP®
C. B. Stewart, CFP®
Christopher M. Deacy, CFP®
Joan M. Kelley, CFP®
Samuel Heyman, CFP®
Melchor Muzkiz, CFP®
Nancy J. Horiuchi, CFP®
Lindsey Stetson, CFP®
Albert E. Sims, CFP®
Adrian J. Levsky, CFP®
Deniz T. Franke, CFP®
Carrie L. Benson, CFP®
Michael  P. Mennella, CFP®
Jamal W. Davis, CFP®
Jeffrey C. Rall, CFP®
Edward J. Carney, CFP®
Daniel G. Misse, CFP®
Logan DeGraeve, CFP®
Andrew D. Eddy, CFP®
Kimberly R. Quintanar, CFP®
Jessica Gibbs, CFP®
Thomas E. Tilton, CFP®
William C. Holzapfel, CFP®
Trisha S. Qualy, CFP®
Teryn Fitzgerald, CFP®
Joseph Trucano, CFP®
Michael L. DeVries, CFP®
Nancy T. Bell, CFP®
David A. Dick, CFP®
William S. Alaniz, CFP®
Robert B. Spencer, CFP®
John E. McVay, CFP®
Reed R. McCoy, CFP®
Christopher J. Heiser, CFP®
David A. Weingartner, CFP®
Jose L. Vitela, CFP®
Amanda C. Petersen, CFP®
Ruben E. Vilorio, CFP®
Moreland B. Bell, CFP®
Gerard J. Zell, CFP®
Michael D. Fessler, CFP®
Dean Surface, CFP®
Thomas A. Giordano, CFP®
Michael Husar, CFP®
Kevin J. Zywna, CFP®
Brian Gamble, CFP®
Margaret M. Capehart, CFP®
Daniel Clinard, CFP®
John A. Wilmer, CFP®
Peter Bryans, CFP®
Heather Hagen, CFP®
Joseph A. Paredez, CFP®
Stephen G. Timberlake, CFP®
Austin H. Rap, CFP®
Christopher  A. Tschieder, CFP®
W. J. Safarik, CFP®
Grant V. McDermott, CFP®
Jennifer M. Lynch, CFP®
Kathryn S. Premraj, CFP®
Aaron Meusborn, CFP®
Christopher R. McCrea, CFP®
Zachary  Gildenberg, CFP®
Andrew E. Curto, CFP®
Benson B. Terrell, CFP®
Christopher J. Cook, CFP®
Bryan R. Cogliano, CFP®
Kristen  M. Roy, CFP®
Daniel P. Stieh, CFP®
Greg Lessard, CFP®
NATHAN A. BREIBY, CFP®
Andrew G. Stewart, CFP®
Brad Michalchuk, CFP®
Allison B. Giffuni, CFP®
Bradley M. Pendzick, CFP®
Martin G. Lutschaunig, CFP®
Emily Mirrilees, CFP®
Nicholas Beck, CFP®
Charles M. Hite, CFP®
Matthew Davis, CFP®
Linda K. Pyles, CFP®
Ronald Schneider, CFP®
Charles E. Carrick, CFP®
Christopher J. Parios, CFP®
Anthony J. Spizzo, CFP®
Christopher D. Leyden, CFP®
David D. Fitzgarrald, CFP®
Norman P. Chiodras, CFP®
Wendy R. Kennedy, CFP®
Guy A. Ellison, CFP®
Cole  J. Gustke, CFP®
Jonathan M. Leonard, CFP®
Michael Williams, CFP®
Amanda M. Dargie DeCesar, CFP®
Maureen Holsen, CFP®
Joseph D. Stone, CFP®
Dana Bitterly, CFP®
Frederick V. Brooks, CFP®
Michal M. Barzyk, CFP®
John T. Webbert, CFP®
Kory Bush, CFP®
TIMOTHY G. MASSIE, CFP®
Gary L. Gaulden, CFP®
Kevin B. Collison, CFP®
John J. Raleigh, CFP®
Edward A. Ramsey, CFP®
Robert G. Keeley, CFP®
Brian K. Grysiewicz, CFP®
